layer,feature_idx,acc_delta_pct,ent_delta
1,15769,0.0000,-0.000218
3,909,0.0570,-0.000060
4,3418,0.0712,-0.001593
4,12049,0.0285,-0.000033
7,75,0.0000,-0.001345
10,4737,0.0427,-0.000330
12,11713,0.0855,-0.000656
13,13767,0.0142,-0.000549
14,5545,0.0570,-0.000241
15,8431,0.0000,-0.000210
15,8576,0.0570,-0.000414
17,12709,0.0000,-0.000609
18,3063,0.0000,-0.000057
21,14638,0.0000,-0.002244
22,4287,0.0000,-0.008187
22,7554,0.0285,-0.001939
23,2155,0.0427,-0.000146
23,12731,0.0712,-0.001970
28,9766,0.0142,-0.000178
28,11036,0.0285,-0.000558
28,15323,0.0285,-0.042886
29,6146,0.0142,-0.035135
29,9828,0.0427,-0.030291
30,4883,0.0285,-0.029029
30,11296,0.0142,-0.000215
31,11159,0.0712,-0.047047
32,4883,0.0142,-0.041205
33,8916,0.0142,-0.006293
33,10212,0.0285,-0.021862
34,7538,0.0142,-0.034139
35,5016,0.0142,-0.044255
36,7456,0.0142,-0.045320
37,295,0.1709,-0.002210
37,5207,0.0142,-0.000434
37,7839,0.0570,-0.051880
38,3203,0.0285,-0.000991
40,696,0.0285,-0.085755
40,15479,0.0712,-0.000747
41,3277,0.0142,-0.000061
