layer,feature_idx,acc_delta_pct,ent_delta
1,13228,0.0142,-0.000012
1,13410,0.0000,-0.000001
4,5700,0.0000,-0.000006
4,8920,0.0000,-0.000009
5,11374,0.0000,-0.000011
5,14089,0.0000,-0.000019
5,15357,0.0285,-0.001446
7,15346,0.0570,-0.001083
8,1562,0.0000,-0.000001
8,4842,0.0427,-0.000196
8,7174,0.0000,-0.000089
8,7670,0.0142,-0.000056
9,472,0.0285,-0.000113
9,3495,0.0000,-0.000007
9,15247,0.0000,-0.000002
10,7696,0.0285,-0.000172
10,13628,0.0142,-0.000014
11,10286,0.0000,-0.000001
12,4568,0.0000,-0.000008
13,3769,0.0142,-0.000329
13,11669,0.0000,-0.000000
14,1701,0.0142,-0.000150
14,2246,0.0000,-0.000001
14,4598,0.0285,-0.000122
14,5791,0.0000,-0.000046
15,717,0.0000,-0.000001
16,3098,0.0142,-0.000019
16,5331,0.0000,-0.000001
16,9860,0.0000,-0.000051
17,1512,0.0000,-0.000002
17,13148,0.0000,-0.000024
18,5515,0.0142,-0.000001
18,12932,0.0000,-0.000010
18,14497,0.0142,-0.000059
20,3767,0.0000,-0.000019
20,10583,0.0000,-0.000091
22,10928,0.0000,-0.000008
22,13278,0.0285,-0.000784
23,6742,0.0142,-0.000144
24,1239,0.0000,-0.000011
24,11181,0.0000,-0.000085
24,16112,0.0000,-0.000004
25,13579,0.0285,-0.000661
25,15799,0.0142,-0.000010
26,13781,0.0285,-0.000009
27,14572,0.0000,-0.000090
28,696,0.0000,-0.000036
29,15173,0.0000,-0.000407
30,14533,0.0427,-0.000693
30,16128,0.0712,-0.000123
31,3479,0.0427,-0.000191
31,5575,0.0570,-0.000262
31,6005,0.0000,-0.000026
31,10344,0.0142,-0.000034
32,12122,0.0000,-0.000022
33,5629,0.0000,-0.000132
33,10153,0.0142,-0.000148
34,4759,0.0000,-0.000035
34,6649,0.0000,-0.000013
34,10404,0.0142,-0.000092
35,8076,0.0142,-0.000065
37,1720,0.0712,-0.001701
37,2444,0.0000,-0.001280
37,12047,0.0855,-0.000608
38,12873,0.0000,-0.000019
39,5074,0.0000,-0.000011
39,15422,0.0142,-0.001203
40,462,0.0000,-0.000041
41,3612,0.0142,-0.000573
41,14546,0.0712,-0.000324
