layer,feature_idx,acc_delta_pct,ent_delta
0,1678,0.0570,-0.000435
0,8502,0.0142,-0.000862
3,1459,0.0285,-0.000044
4,2153,0.0142,-0.000197
4,15205,0.0000,-0.000050
7,2697,0.0142,-0.000312
7,9094,0.0427,-0.000086
7,12362,0.0142,-0.000596
9,2130,0.0570,-0.000344
9,13603,0.0142,-0.000336
10,3850,0.0427,-0.000014
10,6124,0.0570,-0.000373
12,8587,0.0142,-0.000293
15,12925,0.0712,-0.000699
16,15922,0.0000,-0.001440
19,7597,0.0855,-0.001181
21,7739,0.0712,-0.008587
21,9916,0.0427,-0.003064
23,8870,0.0142,-0.000086
24,2942,0.0570,-0.004374
25,4008,0.0285,-0.000706
25,5100,0.0712,-0.006450
26,7439,0.0285,-0.004261
27,663,0.0427,-0.000784
28,920,0.0000,-0.005773
28,8129,0.0855,-0.116928
28,8416,0.0285,-0.001271
28,12030,0.0712,-0.000538
29,9948,0.0142,-0.003566
30,7830,0.0855,-0.005130
32,2606,0.0000,-0.003957
33,4883,0.0712,-0.001486
34,8378,0.0855,-0.000288
35,5971,0.0712,-0.026870
36,8626,0.1424,-0.000355
36,12607,0.0000,-0.000670
37,1699,0.0142,-0.001795
37,15354,0.0000,-0.007389
38,105,0.0285,-0.003687
38,1872,0.0427,-0.001072
38,10196,0.0427,-0.005244
39,9210,0.0997,-0.018377
40,14458,0.0427,-0.000264
41,3807,0.0427,-0.000818
41,10963,0.0285,-0.004328
