layer,feature_idx,acc_delta_pct,ent_delta
3,1710,0.0200,-0.000034
6,15004,0.0600,-0.000127
7,10670,0.0000,-0.000113
7,14932,0.0000,-0.000073
9,6069,0.0200,-0.000023
10,3261,0.0200,-0.000085
11,15967,0.0400,-0.000171
14,10206,0.1000,-0.000330
15,9519,0.0000,-0.000793
15,9546,0.0000,-0.000005
19,4546,0.0000,-0.000044
21,9268,0.0000,-0.000006
21,10749,0.0000,-0.000010
22,6066,0.0000,-0.000019
23,7617,0.0000,-0.000032
23,11893,0.0000,-0.000495
24,3145,0.0400,-0.000082
24,9555,0.0000,-0.000056
24,11247,0.0000,-0.000069
24,11604,0.0200,-0.000041
25,7677,0.0000,-0.000071
25,8151,0.0000,-0.000037
26,870,0.0000,-0.000025
26,15433,0.0200,-0.000117
27,5519,0.0200,-0.000448
27,14763,0.0000,-0.000036
28,6993,0.0000,-0.000004
28,8052,0.0200,-0.000353
29,3380,0.0000,-0.000130
29,7337,0.0400,-0.025248
30,2494,0.0000,-0.000118
30,8070,0.0000,-0.000043
31,12354,0.0000,-0.000050
32,2832,0.0600,-0.004772
32,12611,0.0000,-0.008566
32,15817,0.0200,-0.026940
33,3959,0.0200,-0.000053
33,9509,0.0000,-0.000060
34,9654,0.0000,-0.000016
34,11324,0.0200,-0.007828
34,12788,0.0000,-0.000558
35,1668,0.0000,-0.000035
35,8905,0.0000,-0.000020
35,11854,0.0000,-0.000008
35,12962,0.0000,-0.000000
36,12186,0.0000,-0.000011
37,9396,0.0000,-0.000072
38,8428,0.0200,-0.003560
38,15647,0.0000,-0.000235
39,1291,0.0200,-0.000086
39,15422,0.0200,-0.001333
40,6775,0.0400,-0.003462
41,14657,0.0200,-0.000085
