layer,feature_idx,acc_delta_pct,ent_delta
0,21573,0.0285,-0.000428
3,25064,0.0570,-0.001237
15,30462,0.1139,-0.008994
16,6093,0.0712,-0.000158
16,6986,0.1424,-0.075136
16,21747,0.2136,-0.076276
16,21931,0.1567,-0.004943
17,8130,0.0855,-0.006441
17,13218,0.2136,-0.050322
17,22869,0.5412,-0.068276
18,2618,0.1567,-0.070015
18,10969,0.6694,-0.130186
18,22061,0.6267,-0.048233
19,5267,0.2564,-0.043914
19,16897,0.0855,-0.071508
19,20087,0.0997,-0.006714
20,28843,0.3703,-0.124505
20,32003,0.0000,-0.000271
21,8518,0.0142,-0.002016
21,18562,0.4558,-0.088358
21,23211,0.0285,-0.001022
21,28108,0.1424,-0.017723
21,29779,0.2136,-0.032805
22,5692,0.0000,-0.000813
22,7393,0.0427,-0.000673
22,8083,0.0285,-0.001312
22,16994,0.2706,-0.107344
22,29763,0.5412,-0.183005
23,731,0.1424,-0.013309
23,4837,0.2849,-0.123466
23,10086,0.4558,-0.175894
23,13628,0.1139,-0.005092
23,17464,0.0142,-0.000192
24,18192,0.6124,-0.187021
24,27356,0.0570,-0.002044
24,29371,0.3561,-0.168439
25,8653,0.0000,-0.000833
25,9670,0.2706,-0.064147
25,25415,0.5412,-0.082792
26,276,0.4843,-0.264612
26,1137,0.0000,-0.000069
26,14351,0.2136,-0.041964
26,23375,0.0427,-0.007953
27,4360,0.4985,-0.331011
27,13231,0.1139,-0.004395
27,13272,0.1709,-0.037924
27,31449,0.0285,-0.005860
28,5890,0.2991,-0.023482
28,7037,0.1567,-0.047102
29,9092,0.0142,-0.002165
29,13931,0.1424,-0.012225
30,8867,0.0570,-0.017460
30,28950,0.0142,-0.010626
31,16986,0.0142,-0.003171
31,28707,0.0570,-0.004542
