layer,feature_idx,acc_delta_pct,ent_delta
0,3463,0.0000,-0.000000
0,3683,0.0000,-0.000000
0,30437,0.1139,-0.001070
0,31746,0.0000,-0.000000
1,9153,0.0000,-0.000001
1,32703,0.0000,-0.000000
2,1773,0.0000,-0.000001
2,18459,0.0000,-0.000001
3,3096,0.0570,-0.000252
3,18097,0.0000,-0.000283
5,2040,0.0000,-0.000017
5,11180,0.0000,-0.000002
6,27409,0.0000,-0.000001
7,23745,0.0285,-0.001177
8,3748,0.0000,-0.000003
9,2297,0.0000,-0.000113
9,8306,0.0000,-0.000021
9,17844,0.0000,-0.000001
10,1263,0.0000,-0.000001
10,6314,0.0000,-0.000005
10,27828,0.0000,-0.000001
11,8172,0.0000,-0.000135
11,11972,0.0000,-0.000004
12,22949,0.0000,-0.000000
14,5988,0.0285,-0.000583
16,15955,0.0142,-0.000935
16,24453,0.0142,-0.000457
17,19943,0.1994,-0.001496
18,12518,0.0000,-0.000001
19,273,0.0000,-0.000012
19,14984,0.0000,-0.000012
20,4821,0.0000,-0.000000
20,14683,0.0000,-0.000002
20,30003,0.0000,-0.000034
21,5471,0.0000,-0.000000
22,31657,0.0712,-0.001497
23,2163,0.0000,-0.000093
23,4225,0.0000,-0.000008
24,14306,0.0000,-0.000014
25,1130,0.0000,-0.000058
25,10122,0.0000,-0.000001
26,7802,0.0142,-0.000384
26,28608,0.0000,-0.000000
27,32685,0.0000,-0.000001
28,7923,0.0000,-0.000000
29,20608,0.0000,-0.000002
30,13522,0.0000,-0.000133
30,18206,0.0000,-0.000001
30,23160,0.0000,-0.000000
31,1878,0.0000,-0.000015
31,12933,0.0000,-0.000157
31,22415,0.0000,-0.000002
