layer,feature_idx,acc_delta_pct,ent_delta
0,7270,0.0000,-0.000006
0,12043,0.0142,-0.000020
1,11922,0.0855,-0.000443
1,12392,0.0570,-0.000492
2,20303,0.0427,-0.002324
2,25734,0.0000,-0.000083
3,4390,0.0000,-0.003368
3,20799,0.0570,-0.000021
5,13317,0.0570,-0.000118
5,20085,0.0142,-0.001173
6,8693,0.0142,-0.001468
6,12738,0.0570,-0.000450
6,16276,0.0142,-0.001653
7,2915,0.0142,-0.000364
7,24614,0.0142,-0.000546
7,30835,0.0000,-0.000708
8,19568,0.0000,-0.001851
9,24447,0.0000,-0.000174
9,27949,0.0855,-0.002431
10,10750,0.0570,-0.011050
11,969,0.0285,-0.001035
11,7549,0.0142,-0.010140
12,604,0.2706,-0.011760
12,7513,0.0285,-0.000374
13,5149,0.0142,-0.000815
13,18574,0.2421,-0.028222
14,8464,0.0427,-0.005005
14,30583,0.0570,-0.004145
14,32495,0.1424,-0.024086
15,3179,0.2421,-0.041965
15,26969,0.1709,-0.046853
16,2315,0.0855,-0.004316
16,2644,0.0000,-0.000044
17,745,0.0570,-0.002639
17,2677,0.1567,-0.001265
17,11375,0.3276,-0.032564
17,18795,0.0712,-0.000578
18,28938,0.1139,-0.004492
19,8831,0.3276,-0.041507
19,17961,0.0712,-0.003251
20,11280,0.2136,-0.061818
20,12536,0.1139,-0.007279
21,1265,0.0285,-0.013647
21,21805,0.0712,-0.002635
21,27501,0.0285,-0.008748
22,15114,0.0427,-0.005281
22,19878,0.0142,-0.000310
23,26133,0.0570,-0.003549
24,4121,0.0712,-0.010667
24,26573,0.0000,-0.000346
25,2806,0.3133,-0.044114
25,29216,0.0142,-0.000362
26,17487,0.2421,-0.032467
26,28814,0.0570,-0.000120
26,30360,0.0142,-0.000595
27,1765,0.0997,-0.001628
28,21103,0.0855,-0.007532
29,9220,0.0570,-0.001957
29,16919,0.0000,-0.002161
29,26368,0.0712,-0.005175
29,31431,0.0285,-0.008261
30,1595,0.1424,-0.042454
30,21848,0.0142,-0.002053
