layer,feature_idx,acc_delta_pct,ent_delta
9,24076,0.0000,-0.000070
12,6704,0.0000,-0.000038
13,1107,0.0000,-0.000291
14,1294,0.0200,-0.000003
14,1865,0.0000,-0.000118
14,24406,0.3200,-0.028190
14,31061,0.0000,-0.000017
15,30462,0.2200,-0.016857
17,2677,0.1400,-0.011173
18,10969,0.4400,-0.099325
18,22061,0.4800,-0.051269
19,5267,0.2200,-0.021071
19,14440,0.0600,-0.001328
19,20776,0.0600,-0.004847
20,12536,0.0000,-0.017549
20,28843,0.3000,-0.097382
21,2597,0.0000,-0.000075
22,29763,0.3200,-0.110481
23,10086,0.2400,-0.149287
24,12254,0.2000,-0.060526
24,18192,0.2600,-0.092607
24,24113,0.0200,-0.000581
28,1888,0.0000,-0.003032
28,7037,0.1200,-0.011065
29,13995,0.1600,-0.003252
29,29023,0.0400,-0.003576
30,8867,0.0000,-0.004997
30,17084,0.0200,-0.000678
31,1802,0.0000,-0.000034
31,15962,0.0200,-0.001644
