layer,feature_idx,effect_size,acc_delta_pct,ent_delta,beneficial
0,9298,0.2103,-0.0427,0.000044,False
0,10887,0.1418,-0.0427,0.000283,False
1,3962,0.5656,-0.0570,-0.000732,False
1,15769,0.3387,0.0000,-0.000218,True
2,13786,0.3033,0.0000,0.000063,False
3,909,0.1065,0.0570,-0.000060,True
3,1843,0.3360,-0.0427,0.001678,False
3,14256,0.3952,-0.1282,-0.000211,False
4,2997,0.2460,-0.0570,0.000530,False
4,3418,0.3172,0.0712,-0.001593,True
4,10017,0.4673,-0.0570,0.000357,False
4,10740,0.2918,-0.1139,-0.000371,False
4,12049,0.2835,0.0285,-0.000033,True
5,3945,0.4361,-0.1424,-0.000312,False
5,6368,0.4193,-0.0570,-0.000407,False
5,9577,0.4265,0.0000,0.000400,False
5,11777,0.5046,-0.0712,0.000106,False
5,13087,0.3628,0.0142,0.000101,False
6,412,0.3874,-0.0855,-0.000891,False
6,3344,0.3683,0.0712,0.000039,False
6,4852,0.4022,-0.0570,0.000836,False
6,12856,0.4182,-0.1139,0.000618,False
6,13772,0.3477,-0.0712,-0.001315,False
7,75,0.4772,0.0000,-0.001345,True
7,3238,0.3613,-0.0570,-0.000570,False
7,6874,0.3636,-0.2421,0.000077,False
7,12856,0.6029,-0.0712,0.000712,False
7,14353,0.3758,-0.0712,-0.000021,False
8,579,0.4053,-0.0855,0.000117,False
8,3146,0.3541,-0.0427,-0.000789,False
8,4692,0.4167,-0.0142,0.001137,False
8,5781,0.3852,0.0285,0.000343,False
8,10544,0.4513,-0.0855,-0.000066,False
9,7155,0.3906,-0.0285,0.000165,False
9,7174,0.4718,-0.0285,-0.000018,False
9,12961,0.4038,0.0142,0.000092,False
9,14527,0.3367,-0.0427,0.000210,False
9,16264,0.3862,0.0285,0.000407,False
10,579,0.3284,-0.1424,0.000123,False
10,4737,0.4625,0.0427,-0.000330,True
10,6339,0.3648,-0.0997,0.005220,False
10,11779,0.4481,-0.0142,-0.001291,False
10,12037,0.3691,0.0285,0.000025,False
11,472,0.3639,-0.0997,-0.000307,False
11,735,0.3937,-0.0997,-0.000358,False
11,1827,0.3370,-0.0427,-0.000071,False
11,8236,0.4996,-0.0855,0.001900,False
11,9549,0.3492,-0.0570,-0.000224,False
12,3980,0.6198,-0.1567,0.000910,False
12,5038,0.3390,-0.0285,0.000040,False
