layer,feature_idx,effect_size,acc_delta_pct,ent_delta,beneficial
0,12575,0.2113,0.0000,0.000007,False
1,1643,0.2106,0.0000,0.000000,False
1,13228,0.2569,0.0142,-0.000012,True
1,13410,0.1889,0.0000,-0.000001,True
3,6697,0.1941,0.0000,0.000005,False
4,5700,0.2425,0.0000,-0.000006,True
4,8243,0.2988,-0.0427,0.000050,False
4,8877,0.2578,-0.0285,-0.000075,False
4,8920,0.2182,0.0000,-0.000009,True
4,16167,0.2713,0.0000,0.000039,False
5,3071,0.3326,-0.1139,-0.000770,False
5,4019,0.3754,0.0427,0.000072,False
5,11374,0.3127,0.0000,-0.000011,True
5,14089,0.3434,0.0000,-0.000019,True
5,15357,0.5175,0.0285,-0.001446,True
6,4483,0.3330,-0.0285,-0.000047,False
6,4681,0.2901,-0.1139,0.001466,False
6,11519,0.2570,-0.1567,-0.000405,False
6,14096,0.3559,-0.0142,-0.000586,False
6,14462,0.3806,-0.0855,-0.000280,False
7,2871,0.3925,-0.0285,-0.000179,False
7,4389,0.3591,-0.0285,-0.000388,False
7,7534,0.3314,0.0000,0.000018,False
7,8234,0.3587,-0.1567,0.001119,False
7,15346,0.3225,0.0570,-0.001083,True
8,1562,0.2892,0.0000,-0.000001,True
8,3404,0.3102,-0.0570,0.000088,False
8,4842,0.3941,0.0427,-0.000196,True
8,7174,0.3987,0.0000,-0.000089,True
8,7670,0.2673,0.0142,-0.000056,True
9,472,0.3470,0.0285,-0.000113,True
9,3495,0.3777,0.0000,-0.000007,True
9,6098,0.4396,-0.0712,0.000567,False
9,8585,0.3620,0.0000,0.000002,False
9,15247,0.3336,0.0000,-0.000002,True
10,5175,0.3433,0.0000,0.000008,False
10,7696,0.3207,0.0285,-0.000172,True
10,11723,0.4605,-0.0142,-0.000034,False
10,13628,0.3588,0.0142,-0.000014,True
10,15874,0.3389,0.0000,0.000014,False
11,1121,0.4104,-0.1282,-0.001099,False
11,2139,0.3573,0.0000,0.000004,False
11,4233,0.2925,-0.0285,0.000101,False
11,10286,0.5784,0.0000,-0.000001,True
11,15325,0.3192,-0.0142,-0.000011,False
12,2314,0.2437,0.0000,0.000009,False
12,2995,0.3398,-0.0285,-0.000034,False
12,4568,0.2594,0.0000,-0.000008,True
12,8216,0.2304,-0.0427,0.000052,False
12,16165,0.2850,0.0000,0.000002,False
13,3612,0.3922,-0.0285,0.000206,False
13,3769,0.3043,0.0142,-0.000329,True
13,4392,0.3129,0.0285,0.000055,False
13,7551,0.3266,0.0000,0.000057,False
13,11669,0.3158,0.0000,-0.000000,True
14,1701,0.3138,0.0142,-0.000150,True
14,2246,0.2806,0.0000,-0.000001,True
14,4517,0.3322,-0.0142,-0.000369,False
14,4598,0.2947,0.0285,-0.000122,True
14,5791,0.3316,0.0000,-0.000046,True
15,717,0.3593,0.0000,-0.000001,True
15,1479,0.3278,-0.0285,-0.000195,False
15,4397,0.3711,-0.0427,0.000319,False
15,7341,0.3668,0.0000,0.000005,False
15,12065,0.5384,0.0427,0.000222,False
16,3098,0.3772,0.0142,-0.000019,True
16,4696,0.3091,-0.0285,-0.000097,False
16,5331,0.3644,0.0000,-0.000001,True
16,8973,0.3703,-0.0427,0.000097,False
16,9860,0.3573,0.0000,-0.000051,True
17,1512,0.3571,0.0000,-0.000002,True
17,7534,0.3595,0.0000,0.000004,False
17,9078,0.3977,-0.1852,0.003193,False
17,13148,0.3350,0.0000,-0.000024,True
17,14491,0.4037,-0.0855,0.004086,False
18,5515,0.3637,0.0142,-0.000001,True
18,6295,0.3107,0.0000,0.000061,False
18,8598,0.3737,-0.0427,0.001472,False
18,12932,0.3492,0.0000,-0.000010,True
18,14497,0.4543,0.0142,-0.000059,True
19,2602,0.4613,0.0000,0.000001,False
19,12685,0.3461,0.0000,0.000114,False
19,13288,0.5123,-0.0285,0.002681,False
19,14475,0.3853,-0.0285,0.000176,False
19,15675,0.4017,-0.0855,0.005387,False
20,135,0.4325,-0.0855,-0.001352,False
20,3767,0.3962,0.0000,-0.000019,True
20,5179,0.3881,-0.0285,0.000609,False
20,10583,0.3964,0.0000,-0.000091,True
20,11733,0.4543,0.0285,0.000943,False
21,3616,0.3778,-0.0142,-0.000042,False
21,4391,0.3722,0.0285,0.000231,False
21,6235,0.3784,0.0000,0.000001,False
21,15846,0.3712,-0.0285,0.000208,False
