layer,feature_idx,effect_size,acc_delta_pct,ent_delta,beneficial
0,1678,0.8281,0.0570,-0.000435,True
0,8502,1.1445,0.0142,-0.000862,True
0,12625,0.6983,-0.0142,-0.000020,False
0,12637,0.7614,-0.1282,-0.000590,False
0,13889,0.6122,-0.3276,0.009865,False
1,4831,0.6425,-0.0570,-0.000219,False
1,11522,0.6822,-0.1424,-0.000399,False
1,13547,1.1154,-0.1139,-0.000944,False
1,13889,0.6840,-8.3037,0.578246,False
1,15798,0.7078,-0.0427,-0.000102,False
2,1697,0.4829,-0.0142,0.000028,False
2,2811,0.5492,-0.0142,-0.000486,False
2,5875,0.6520,-0.0142,-0.000139,False
2,9359,1.0886,-0.0712,-0.000229,False
2,15246,0.8623,-8.7025,0.478341,False
3,1459,0.6207,0.0285,-0.000044,True
3,6369,0.4714,0.0000,0.000002,False
3,12754,0.5575,-0.1852,-0.000036,False
3,13276,0.4397,-0.0142,-0.000096,False
3,15050,1.1358,-0.9828,0.072547,False
4,2153,0.7050,0.0142,-0.000197,True
4,5691,0.5785,0.0855,0.000035,False
4,7625,0.6153,-0.1852,0.004635,False
4,15205,0.7076,0.0000,-0.000050,True
4,15929,0.6376,-0.0285,-0.000083,False
5,5874,0.9090,-0.1282,-0.000691,False
5,12091,0.8762,-0.2991,0.008049,False
5,12503,0.8002,-0.0997,0.000633,False
5,13909,0.9732,-0.0855,-0.000056,False
5,13945,1.0114,-0.2564,0.000147,False
6,181,0.9209,-0.0285,0.000437,False
6,550,1.0968,-0.0712,0.000132,False
6,2669,1.0025,-0.0997,-0.000153,False
6,11168,1.5120,-0.0427,-0.000155,False
6,13140,0.9004,-0.1282,-0.000186,False
7,2180,1.4442,-0.8261,0.071353,False
7,2697,1.5082,0.0142,-0.000312,True
7,3771,1.2067,-0.1709,0.001880,False
7,9094,1.1736,0.0427,-0.000086,True
7,12362,1.0302,0.0142,-0.000596,True
8,1226,1.4925,-0.4130,0.066491,False
8,6086,1.6127,-0.1139,-0.000496,False
8,8896,1.3980,-0.0427,0.003254,False
8,9496,1.3040,-0.1709,0.005043,False
8,10457,1.2174,-0.0285,-0.000464,False
9,2130,1.3823,0.0570,-0.000344,True
9,6386,1.0733,-0.1709,0.000316,False
9,13430,1.6171,-0.1139,0.001638,False
9,13603,1.2127,0.0142,-0.000336,True
9,13886,1.3977,-0.0712,-0.000077,False
10,3850,1.7978,0.0427,-0.000014,True
10,5958,1.3359,-0.0285,0.000427,False
