layer,feature_idx,effect_size,acc_delta_pct,ent_delta,beneficial
1,6879,0.1323,0.0000,0.000012,False
1,11931,0.2344,0.0400,0.006061,False
2,16201,0.1030,0.0800,0.006053,False
3,1710,0.2412,0.0200,-0.000034,True
4,3619,0.1536,0.0000,0.000004,False
6,15004,0.1886,0.0600,-0.000127,True
7,10670,0.1517,0.0000,-0.000113,True
7,14932,0.0758,0.0000,-0.000073,True
8,3489,0.1053,-0.0200,-0.000078,False
8,4914,0.2085,0.0200,0.000055,False
8,14108,0.2437,-0.0200,0.000099,False
9,1451,0.0950,0.0000,0.000044,False
9,3652,0.1285,0.0200,0.000000,False
9,6069,0.0879,0.0200,-0.000023,True
9,11383,0.1142,0.0000,0.000006,False
10,605,0.1950,0.0000,0.000009,False
10,3261,0.2469,0.0200,-0.000085,True
11,15967,0.1967,0.0400,-0.000171,True
12,8539,0.1597,0.0400,0.000055,False
12,10343,0.1925,-0.0200,0.000167,False
12,11315,0.1451,0.0000,0.000057,False
13,8277,0.1957,0.0200,0.000127,False
13,13439,0.2093,-0.0200,0.000028,False
13,14842,0.1347,0.0200,0.000003,False
14,10206,0.4337,0.1000,-0.000330,True
15,9519,0.1696,0.0000,-0.000793,True
15,9546,0.0936,0.0000,-0.000005,True
15,15210,0.1343,0.0000,0.000006,False
18,12019,0.1114,-0.0800,-0.000398,False
19,4546,0.0977,0.0000,-0.000044,True
19,6835,0.1634,0.0000,0.000049,False
20,9648,0.1171,-0.0600,0.000056,False
21,516,0.1978,0.0000,0.000085,False
21,9268,0.1431,0.0000,-0.000006,True
21,9643,0.2929,0.0000,0.000441,False
21,10749,0.1159,0.0000,-0.000010,True
22,415,0.1361,0.0000,0.000056,False
22,5938,0.1729,-0.0200,0.000011,False
22,6066,0.1416,0.0000,-0.000019,True
22,6967,0.2567,0.0000,0.000012,False
23,1499,0.3516,0.0200,0.000181,False
23,3526,0.2820,-0.0400,-0.000052,False
23,7617,0.1456,0.0000,-0.000032,True
23,11893,0.2726,0.0000,-0.000495,True
24,2942,0.6109,-0.0200,-0.007747,False
24,3145,0.2216,0.0400,-0.000082,True
24,9555,0.2080,0.0000,-0.000056,True
24,11247,0.1669,0.0000,-0.000069,True
24,11604,0.2548,0.0200,-0.000041,True
25,157,0.2815,-0.0200,-0.000404,False
25,7677,0.1944,0.0000,-0.000071,True
25,8151,0.1939,0.0000,-0.000037,True
25,9674,0.1628,-0.0200,-0.000008,False
25,11441,0.1890,0.0000,0.000032,False
26,870,0.1754,0.0000,-0.000025,True
26,2534,0.1608,0.0000,0.000129,False
26,12568,0.2869,0.0000,0.000334,False
26,15433,0.2421,0.0200,-0.000117,True
26,15992,0.1804,0.0000,0.000091,False
27,303,0.2453,-0.0200,0.000442,False
27,5463,0.3529,0.0200,0.000005,False
27,5519,0.2742,0.0200,-0.000448,True
27,10347,0.2246,-0.0200,0.000027,False
27,14763,0.2471,0.0000,-0.000036,True
28,6993,0.2454,0.0000,-0.000004,True
