layer,feature_idx,effect_size,acc_delta_pct,ent_delta,beneficial
0,4397,0.0861,0.0570,0.000042,False
0,21573,0.0287,0.0285,-0.000428,True
3,25064,0.2001,0.0570,-0.001237,True
7,22351,0.1979,-0.0142,0.000007,False
10,30908,0.3211,-0.1709,0.011934,False
12,23860,0.1996,-0.2991,-0.003108,False
15,11627,0.7655,-0.1852,0.021912,False
15,30462,0.5810,0.1139,-0.008994,True
16,4776,0.2266,0.0427,0.000451,False
16,6093,0.4143,0.0712,-0.000158,True
16,6986,1.1194,0.1424,-0.075136,True
16,21747,2.6044,0.2136,-0.076276,True
16,21931,0.9512,0.1567,-0.004943,True
16,24846,0.5687,-0.0712,-0.002254,False
17,8130,1.5661,0.0855,-0.006441,True
17,13218,1.8115,0.2136,-0.050322,True
17,16259,0.6317,-0.1567,0.000031,False
17,22869,3.9383,0.5412,-0.068276,True
17,29803,0.2622,-0.0142,0.000130,False
18,2618,2.0437,0.1567,-0.070015,True
18,10969,4.0508,0.6694,-0.130186,True
18,22061,0.7050,0.6267,-0.048233,True
19,5267,1.6038,0.2564,-0.043914,True
19,16897,1.7948,0.0855,-0.071508,True
19,20087,1.4267,0.0997,-0.006714,True
20,9495,1.8465,-0.0427,-0.074365,False
20,28843,3.5280,0.3703,-0.124505,True
20,32003,0.2828,0.0000,-0.000271,True
21,8518,0.8238,0.0142,-0.002016,True
21,18562,1.6613,0.4558,-0.088358,True
21,23211,0.1150,0.0285,-0.001022,True
21,28108,1.3209,0.1424,-0.017723,True
21,29779,3.6218,0.2136,-0.032805,True
22,5692,0.2375,0.0000,-0.000813,True
22,7393,0.3197,0.0427,-0.000673,True
22,8083,0.4136,0.0285,-0.001312,True
22,11186,0.1269,-0.0142,-0.000057,False
22,16994,1.7106,0.2706,-0.107344,True
22,21419,0.1764,0.0000,0.000061,False
22,29763,3.5333,0.5412,-0.183005,True
23,731,2.9356,0.1424,-0.013309,True
23,4837,1.7182,0.2849,-0.123466,True
23,10086,2.0859,0.4558,-0.175894,True
23,13628,0.7686,0.1139,-0.005092,True
23,17464,0.5930,0.0142,-0.000192,True
24,1302,0.6947,-0.0427,-0.005840,False
24,13232,1.2655,-1.6807,-0.011400,False
24,18192,3.8565,0.6124,-0.187021,True
24,27356,0.7773,0.0570,-0.002044,True
24,29371,1.6736,0.3561,-0.168439,True
25,8653,0.3586,0.0000,-0.000833,True
25,9670,1.9435,0.2706,-0.064147,True
25,25415,6.4701,0.5412,-0.082792,True
26,276,1.0765,0.4843,-0.264612,True
26,1137,0.1377,0.0000,-0.000069,True
26,3900,0.6708,-0.0570,0.020944,False
26,6419,1.0914,-1.5952,-0.143802,False
26,7951,1.1291,-3.0338,-0.022519,False
26,14351,3.4118,0.2136,-0.041964,True
26,16001,0.5611,-0.5840,0.115002,False
26,23375,2.0042,0.0427,-0.007953,True
27,1425,0.6276,-0.0427,-0.001154,False
27,4360,0.9076,0.4985,-0.331011,True
27,5023,0.7691,-0.9116,-0.119239,False
27,9014,1.0131,-2.6065,-0.004735,False
27,13231,2.3583,0.1139,-0.004395,True
27,13272,3.9379,0.1709,-0.037924,True
27,31449,0.4394,0.0285,-0.005860,True
28,5890,3.5229,0.2991,-0.023482,True
28,7037,3.7491,0.1567,-0.047102,True
28,13351,1.2706,-2.5353,-0.023012,False
28,19290,2.4551,-0.3846,-0.144362,False
28,28733,1.0479,-0.0427,-0.004753,False
29,9092,2.1336,0.0142,-0.002165,True
29,10781,0.4946,-1.5667,0.009543,False
29,12331,0.8663,-0.0855,-0.001438,False
29,13931,2.4133,0.1424,-0.012225,True
29,13995,0.9052,-0.0142,0.002146,False
29,14638,1.0322,-0.0142,-0.000725,False
29,24981,1.2987,-0.2136,-0.009725,False
29,28379,2.4629,-0.2421,-0.151167,False
30,8867,2.8402,0.0570,-0.017460,True
30,9478,1.4993,-8.2182,-0.085048,False
30,15707,0.9369,-0.0427,-0.001609,False
30,18248,0.6523,-0.0712,0.003980,False
30,18543,2.2536,-0.0570,0.012339,False
30,25485,1.3794,-6.6230,-0.089095,False
30,28950,0.3718,0.0142,-0.010626,True
30,29642,0.3869,-0.9258,-0.046809,False
31,1895,0.9639,-0.0285,-0.002113,False
31,2354,0.9895,0.0427,0.001308,False
31,9926,0.9520,-0.1139,-0.000803,False
31,12810,0.7401,-0.0142,-0.000065,False
31,16986,0.4882,0.0142,-0.003171,True
31,19864,1.5743,-6.4236,-0.031464,False
31,20182,0.2622,-0.0142,0.000354,False
31,20677,0.4185,-0.0142,-0.000041,False
31,23605,1.5552,-0.0712,-0.066846,False
31,28707,2.5090,0.0570,-0.004542,True
31,29282,1.3214,-9.9131,-0.083410,False
31,29457,1.1007,-0.0142,-0.006378,False
31,32006,0.4338,-0.0285,-0.004906,False
