layer,feature_idx,effect_size,acc_delta_pct,ent_delta,beneficial
0,3463,0.1850,0.0000,-0.000000,True
0,3683,0.1852,0.0000,-0.000000,True
0,8327,0.1849,0.0000,0.000001,False
0,30437,0.2254,0.1139,-0.001070,True
0,31746,0.1943,0.0000,-0.000000,True
1,8613,0.1737,0.0000,0.000006,False
1,9153,0.1779,0.0000,-0.000001,True
1,14301,0.1716,0.0000,0.000001,False
1,32703,0.2611,0.0000,-0.000000,True
2,1773,0.1752,0.0000,-0.000001,True
2,18459,0.1782,0.0000,-0.000001,True
2,25096,0.1852,0.0000,0.000001,False
2,26515,0.1839,0.0000,0.000002,False
3,3096,0.3580,0.0570,-0.000252,True
3,18097,0.3494,0.0000,-0.000283,True
3,25281,0.1623,0.0000,0.000002,False
5,2040,0.1979,0.0000,-0.000017,True
5,11180,0.1861,0.0000,-0.000002,True
6,27409,0.1845,0.0000,-0.000001,True
7,11523,0.1848,0.0000,0.000001,False
7,23745,0.2833,0.0285,-0.001177,True
7,25134,0.1773,0.0000,0.000009,False
8,3748,0.1560,0.0000,-0.000003,True
8,18479,0.2731,-0.0997,-0.005849,False
8,25526,0.1686,0.0000,0.000002,False
8,28871,0.3056,0.0000,0.000511,False
8,31235,0.1679,0.0000,0.000012,False
9,2297,0.2209,0.0000,-0.000113,True
9,7040,0.1727,0.0000,0.000001,False
9,8306,0.1846,0.0000,-0.000021,True
9,17844,0.1943,0.0000,-0.000001,True
9,18113,0.1862,0.0000,0.000000,False
10,1263,0.1676,0.0000,-0.000001,True
10,3517,0.1861,0.0000,0.000003,False
10,6314,0.1536,0.0000,-0.000005,True
10,16466,0.1735,0.0000,0.000003,False
10,27828,0.1943,0.0000,-0.000001,True
11,7343,0.2328,-0.0142,0.000597,False
11,8172,0.2583,0.0000,-0.000135,True
11,11972,0.1862,0.0000,-0.000004,True
11,12437,0.2364,-0.0142,-0.000003,False
11,20405,0.1942,-0.0142,-0.000001,False
12,1514,0.2247,0.0000,0.000010,False
12,19223,0.2803,-0.0427,-0.000774,False
12,22949,0.1943,0.0000,-0.000000,True
12,31615,0.2352,0.0570,0.000839,False
12,31839,0.3477,-0.0142,0.000411,False
13,1223,0.3054,-0.0142,0.000872,False
13,9074,0.2489,-0.0427,0.000474,False
13,9162,0.2539,0.0000,0.000000,False
13,10350,0.2944,0.0000,0.000104,False
13,19433,0.2259,-0.0285,0.000081,False
14,5988,0.2321,0.0285,-0.000583,True
14,6001,0.2250,0.0000,0.000154,False
14,14568,0.3245,0.0000,0.000039,False
14,27824,0.2477,0.0000,0.000085,False
14,29647,0.2678,0.0000,0.000438,False
15,6023,0.2219,0.0000,0.000025,False
15,24692,0.2084,0.0142,0.000020,False
15,26830,0.2456,0.0000,0.000025,False
15,27676,0.2753,-0.0427,-0.003627,False
15,32546,0.2636,-0.0142,0.004309,False
16,6985,0.2149,0.0000,0.000061,False
16,10513,0.2504,-0.0142,0.000459,False
16,15955,0.2554,0.0142,-0.000935,True
16,16656,0.2430,-0.0427,0.000088,False
16,24453,0.2593,0.0142,-0.000457,True
17,1510,0.3852,-0.1139,0.028158,False
17,7747,0.3432,0.0142,0.000905,False
17,7968,0.3694,-0.0570,0.004794,False
17,19943,0.3092,0.1994,-0.001496,True
17,24975,0.2917,-0.0142,0.000027,False
18,3386,0.2410,0.0000,0.000022,False
18,12518,0.1943,0.0000,-0.000001,True
18,12836,0.2605,0.0000,0.000020,False
18,17642,0.1943,0.0000,0.000001,False
18,20131,0.2664,-0.0427,0.002308,False
19,273,0.2637,0.0000,-0.000012,True
19,10140,0.3204,0.0142,0.000098,False
19,14984,0.2577,0.0000,-0.000012,True
19,23191,0.3204,-0.0285,0.000018,False
19,24717,0.2244,0.0142,0.000663,False
20,4821,0.1943,0.0000,-0.000000,True
20,12223,0.2080,0.0000,0.000015,False
20,14683,0.1943,0.0000,-0.000002,True
20,16200,0.1915,0.0000,0.000018,False
20,30003,0.1943,0.0000,-0.000034,True
21,1397,0.1851,0.0000,0.000036,False
21,5471,0.1943,0.0000,-0.000000,True
21,9409,0.1943,0.0000,0.000000,False
21,13390,0.1966,0.0000,0.000013,False
21,22187,0.2190,0.0000,0.000030,False
22,49,0.3678,-0.0570,-0.007677,False
22,8687,0.3641,-0.0142,0.000562,False
22,10944,0.2375,-0.0142,-0.003869,False
22,11061,0.3141,0.0000,0.003803,False
22,31657,0.5558,0.0712,-0.001497,True
23,1619,0.3370,-0.0285,0.000678,False
23,2163,0.2708,0.0000,-0.000093,True
23,4225,0.2162,0.0000,-0.000008,True
23,6215,0.1943,0.0000,0.000000,False
23,14449,0.3998,-0.0285,0.002583,False
24,5015,0.2603,0.0142,0.000453,False
24,14306,0.1827,0.0000,-0.000014,True
24,17860,0.3228,0.0000,0.000361,False
24,21566,0.1943,0.0000,0.000000,False
25,1130,0.2345,0.0000,-0.000058,True
25,10122,0.1943,0.0000,-0.000001,True
26,517,0.3234,0.0285,0.002938,False
26,7802,0.2621,0.0142,-0.000384,True
26,9352,0.1943,0.0000,0.000001,False
26,15702,0.2993,0.0000,0.000233,False
26,28608,0.1943,0.0000,-0.000000,True
27,7872,0.3780,-1.7234,0.170661,False
27,22133,0.1943,0.0000,0.000001,False
27,24443,0.3324,0.0000,0.000002,False
27,32685,0.1856,0.0000,-0.000001,True
28,7923,0.1724,0.0000,-0.000000,True
28,9966,0.3474,-0.2279,-0.048689,False
28,13551,0.1943,0.0000,0.000001,False
28,23025,0.1943,0.0000,0.000003,False
28,27665,0.3168,-0.0142,-0.000087,False
29,10508,0.1943,0.0000,0.000001,False
29,11983,0.1865,0.0000,0.000002,False
29,13027,0.1943,0.0000,0.000000,False
29,16012,0.1943,0.0000,0.000001,False
29,20608,0.1771,0.0000,-0.000002,True
30,5755,0.1943,0.0000,0.000001,False
30,13522,0.3594,0.0000,-0.000133,True
30,18206,0.1943,0.0000,-0.000001,True
30,18829,0.2428,0.0142,0.000336,False
30,23160,0.1943,0.0000,-0.000000,True
31,1878,0.2368,0.0000,-0.000015,True
31,3088,0.2424,0.0000,0.000001,False
31,4388,0.2728,-1.6095,-0.010873,False
31,12933,0.2807,0.0000,-0.000157,True
31,22415,0.2681,0.0000,-0.000002,True
