layer,feature_idx,effect_size,acc_delta_pct,ent_delta,beneficial
0,1770,0.4742,0.0855,0.000210,False
0,7270,0.4977,0.0000,-0.000006,True
0,9387,0.4274,0.0000,0.000046,False
0,9915,0.8785,-0.0142,-0.000312,False
0,12043,0.4728,0.0142,-0.000020,True
1,11922,0.7693,0.0855,-0.000443,True
1,12094,0.6484,-0.1139,0.003596,False
1,12351,0.6158,-0.0570,-0.000754,False
1,12392,0.8920,0.0570,-0.000492,True
1,16699,0.7270,-0.0142,0.000783,False
2,6625,0.5590,0.0712,0.002196,False
2,11956,0.5338,0.0855,0.000244,False
2,20303,0.6504,0.0427,-0.002324,True
2,25734,0.6943,0.0000,-0.000083,True
2,30896,0.7889,-0.0427,-0.000050,False
3,1323,0.4986,-0.0142,-0.000058,False
3,4390,0.6300,0.0000,-0.003368,True
3,15869,0.6164,0.0000,0.000637,False
3,20799,0.5808,0.0570,-0.000021,True
3,25089,1.0449,-0.0142,0.000459,False
4,983,1.0440,-0.0712,-0.002623,False
4,4909,0.6703,-0.0855,-0.005299,False
4,13965,0.6008,0.2421,0.001620,False
4,23545,0.6385,-0.0427,-0.000782,False
4,30345,0.6370,-0.0570,0.000569,False
5,13317,0.4200,0.0570,-0.000118,True
5,18800,0.6138,-0.1852,0.000340,False
5,20085,1.0845,0.0142,-0.001173,True
5,22721,0.6762,-0.0427,-0.000607,False
5,26311,0.4271,0.0000,0.000044,False
6,3066,0.7641,-0.1282,-0.004835,False
6,8693,0.4422,0.0142,-0.001468,True
6,12738,0.6417,0.0570,-0.000450,True
6,16276,0.7205,0.0142,-0.001653,True
6,18158,0.6273,-0.1282,-0.003018,False
7,2915,0.5650,0.0142,-0.000364,True
7,9608,0.5335,-0.0142,0.000096,False
7,24614,0.6931,0.0142,-0.000546,True
7,27514,0.5472,0.1709,0.005859,False
7,30835,0.5834,0.0000,-0.000708,True
8,5686,0.7283,-0.0570,0.000862,False
8,11129,0.7542,-0.1994,0.003287,False
8,16146,0.7646,-0.0570,-0.001230,False
8,19568,0.6943,0.0000,-0.001851,True
8,25767,0.7478,0.0712,0.000297,False
9,5197,0.5692,0.0000,0.000141,False
9,22539,0.5457,0.0000,0.000844,False
9,24447,0.6680,0.0000,-0.000174,True
9,24643,0.6196,-0.0570,-0.000240,False
9,27949,0.6465,0.0855,-0.002431,True
10,7817,0.7665,0.1139,0.002366,False
10,10750,0.3799,0.0570,-0.011050,True
10,17703,0.7254,0.0285,0.006780,False
10,27749,0.5174,0.0142,0.000239,False
10,29763,0.2871,0.0142,0.000225,False
11,969,0.5648,0.0285,-0.001035,True
11,7549,0.5906,0.0142,-0.010140,True
11,9519,0.5853,0.0427,0.001454,False
11,10386,0.9736,0.0570,0.006178,False
11,10777,0.4663,-0.0142,-0.000380,False
12,604,0.5748,0.2706,-0.011760,True
12,7513,0.5283,0.0285,-0.000374,True
12,7729,0.8960,0.0000,0.002386,False
12,21379,0.4640,-0.0142,0.000028,False
12,28257,0.4542,0.0000,0.000596,False
13,2076,0.9451,-0.0997,-0.000015,False
13,5149,0.7815,0.0142,-0.000815,True
13,11175,0.8045,-0.1567,0.015321,False
13,18574,0.6916,0.2421,-0.028222,True
13,29454,1.1073,0.0570,0.001252,False
14,8464,0.7940,0.0427,-0.005005,True
14,9175,1.0782,-0.0997,-0.001531,False
14,13629,0.8498,-0.0142,0.007618,False
14,30583,1.1952,0.0570,-0.004145,True
14,32495,1.3823,0.1424,-0.024086,True
