layer,feature_idx,effect_size,acc_delta_pct,ent_delta,beneficial
0,16836,0.1152,0.0000,0.000004,False
7,23327,0.1258,0.0000,0.000002,False
9,8249,0.1734,0.0000,0.000029,False
9,24076,0.1295,0.0000,-0.000070,True
12,6704,0.1377,0.0000,-0.000038,True
12,25238,0.1004,0.0000,0.000052,False
13,1107,0.1220,0.0000,-0.000291,True
13,1795,0.3395,0.0400,0.000069,False
13,1943,0.1258,-0.0200,0.000114,False
14,1294,0.2545,0.0200,-0.000003,True
14,1865,0.2472,0.0000,-0.000118,True
14,24406,0.5024,0.3200,-0.028190,True
14,31061,0.2802,0.0000,-0.000017,True
15,1345,0.3332,-0.0200,-0.000645,False
15,5401,0.0933,-0.0200,0.005585,False
15,30462,0.5550,0.2200,-0.016857,True
16,4776,0.4554,0.0400,0.007157,False
16,26274,0.0861,-0.0200,0.000853,False
17,2677,0.3099,0.1400,-0.011173,True
17,3246,0.1839,0.0000,0.000280,False
17,29803,0.5047,-0.0200,0.002563,False
18,10969,0.5041,0.4400,-0.099325,True
18,22061,0.3953,0.4800,-0.051269,True
19,5267,0.4181,0.2200,-0.021071,True
19,9594,0.2712,-0.2200,-0.070041,False
19,14440,0.1952,0.0600,-0.001328,True
19,20234,0.1593,0.0000,0.000063,False
19,20776,0.3974,0.0600,-0.004847,True
20,1425,0.2843,0.0800,0.002698,False
20,5933,0.3129,-1.8200,0.039749,False
20,12536,0.3356,0.0000,-0.017549,True
20,21257,0.1877,0.0000,0.000251,False
20,28843,0.7434,0.3000,-0.097382,True
21,2597,0.0899,0.0000,-0.000075,True
21,7115,0.2901,-1.9000,0.038893,False
21,11916,0.1763,0.0000,0.000070,False
22,6932,0.4381,0.0600,0.005683,False
22,10093,0.5134,-0.6200,-0.030655,False
22,29763,0.5706,0.3200,-0.110481,True
22,32161,0.2957,-1.6800,0.035627,False
23,4606,0.3353,-1.6800,0.033604,False
23,10086,0.9109,0.2400,-0.149287,True
24,11392,0.4329,-0.4000,0.017439,False
24,12254,0.5217,0.2000,-0.060526,True
24,18192,0.4336,0.2600,-0.092607,True
24,24113,0.1088,0.0200,-0.000581,True
26,3836,0.2130,0.0400,0.012969,False
26,4155,0.1359,0.0000,0.000046,False
26,6419,0.3419,-1.5400,-0.077986,False
27,5023,0.4741,-0.9400,-0.060709,False
27,18623,0.3088,-5.5800,0.045252,False
28,1888,0.3324,0.0000,-0.003032,True
28,2611,0.3435,0.0200,0.008082,False
28,7037,0.2525,0.1200,-0.011065,True
28,22459,0.4457,-4.9000,0.035526,False
29,13995,0.4912,0.1600,-0.003252,True
29,29023,0.1459,0.0400,-0.003576,True
30,8867,0.4422,0.0000,-0.004997,True
30,16953,0.3872,-8.6200,0.020061,False
30,17084,0.2756,0.0200,-0.000678,True
31,1802,0.1287,0.0000,-0.000034,True
31,15962,0.1174,0.0200,-0.001644,True
31,23605,0.4097,-0.3600,-0.036265,False
31,28707,0.4517,-0.1800,-0.000729,False
31,32511,0.5320,-3.1800,0.047486,False
