condition,layer,features,n_features,accuracy,acc_delta,mean_entropy,ent_delta,n_flipped_to_correct,n_flipped_to_incorrect
L0_combined,0,[21573],1,0.7962747380675204,-0.038804811796666616,0.5671603073476935,0.0013642363813313185,2,3
L3_combined,3,[25064],1,0.7974388824214202,0.07760962359332213,0.5624162003056059,-0.00337987066075629,5,3
L15_combined,15,[30462],1,0.7962747380675204,-0.038804811796666616,0.5512106921330462,-0.01458537883331601,12,13
L16_combined,16,"[21747, 6093, 6986, 21931]",4,0.7958866899495537,-0.07760962359333323,0.39299089340388277,-0.17280517756247943,22,24
L17_combined,17,"[8130, 13218, 22869]",3,0.7989910748932868,0.2328288707799775,0.4341286116154618,-0.1316674593509004,29,23
L18_combined,18,"[10969, 2618, 22061]",3,0.8001552192471867,0.34924330616996624,0.2832391261312674,-0.2825569448350948,40,31
L19_combined,19,"[16897, 20087, 5267]",3,0.7978269305393869,0.11641443538998875,0.4210251771225487,-0.14477089384381348,23,20
L20_combined,20,"[28843, 32003]",2,0.7974388824214202,0.07760962359332213,0.4347232239675767,-0.13107284699878552,28,26
L21_combined,21,"[18562, 29779, 8518, 28108, 23211]",5,0.8005432673651532,0.38804811796662175,0.39092088328944763,-0.17487518767691457,31,21
L22_combined,22,"[29763, 16994, 8083, 7393, 5692]",5,0.8020954598370198,0.5432673651532771,0.2677018453589224,-0.2980942256074398,43,29
L23_combined,23,"[4837, 10086, 13628, 17464, 731]",5,0.8032596041909197,0.6596818005432659,0.2198765153395845,-0.3459195556267777,48,31
L24_combined,24,"[18192, 29371, 27356]",3,0.8001552192471867,0.34924330616996624,0.21656290404906955,-0.34923316691729267,49,40
L25_combined,25,"[9670, 25415, 8653]",3,0.8001552192471867,0.34924330616996624,0.42365118592209916,-0.14214488504426304,25,16
L26_combined,26,"[14351, 23375, 276, 1137]",4,0.79976717112922,0.3104384943732996,0.20846765133359232,-0.35732841963276984,37,29
L27_combined,27,"[13272, 13231, 4360, 31449]",4,0.8055878928987195,0.8925106713232434,0.15526362223470278,-0.4105324487316594,69,46
L28_combined,28,"[7037, 5890]",2,0.7993791230112534,0.271633682576633,0.49223240250725186,-0.07356366845911033,16,9
L29_combined,29,"[13931, 9092]",2,0.796662786185487,0.0,0.5497604496932459,-0.016035621273116307,7,7
L30_combined,30,"[8867, 28950]",2,0.7951105937136205,-0.15521924718665536,0.5371242439461786,-0.02867182702018356,7,11
L31_combined,31,"[28707, 16986]",2,0.7943344974776873,-0.2328288707799775,0.5610998666848515,-0.004696204281510741,6,12
all_layers_combined,all,"{0: [21573], 3: [25064], 15: [30462], 16: [21747, 6093, 6986, 21931], 17: [8130, 13218, 22869], 18: [10969, 2618, 22061], 19: [16897, 20087, 5267], 20: [28843, 32003], 21: [18562, 29779, 8518, 28108, 23211], 22: [29763, 16994, 8083, 7393, 5692], 23: [4837, 10086, 13628, 17464, 731], 24: [18192, 29371, 27356], 25: [9670, 25415, 8653], 26: [14351, 23375, 276, 1137], 27: [13272, 13231, 4360, 31449], 28: [7037, 5890], 29: [13931, 9092], 30: [8867, 28950], 31: [28707, 16986]}",55,0.8048117966627862,0.8149010477299212,0.07087303833928858,-0.4949230326270736,63,42
