condition,layer,features,n_features,accuracy,acc_delta,mean_entropy,ent_delta,n_flipped_to_correct,n_flipped_to_incorrect
L1_combined,1,[15769],1,0.8835855646100116,0.0,0.18497226332654546,-8.487788058922363e-05,0,0
L3_combined,3,[909],1,0.8835855646100116,0.0,0.18502484131513067,-3.229989200401184e-05,0,0
L4_combined,4,"[3418, 12049]",2,0.8835855646100116,0.0,0.18423658343001556,-0.0008205577771191186,1,1
L7_combined,7,[75],1,0.883197516492045,-0.038804811796655514,0.1838380740117198,-0.001219067195414869,2,3
L10_combined,10,[4737],1,0.883197516492045,-0.038804811796655514,0.18466133466947338,-0.0003958065376613029,0,1
L12_combined,12,[11713],1,0.8839736127279783,0.038804811796666616,0.18424267023826987,-0.0008144709688648055,2,1
L13_combined,13,[13767],1,0.8828094683740784,-0.07760962359332213,0.18505882026868126,1.6790615465778203e-06,1,3
L14_combined,14,[5545],1,0.8835855646100116,0.0,0.18505579975568517,-1.3414514495047047e-06,0,0
L15_combined,15,"[8576, 8431]",2,0.8835855646100116,0.0,0.18465790622813774,-0.0003992349789969374,0,0
L17_combined,17,[12709],1,0.8835855646100116,0.0,0.18500776705884928,-4.937414828540265e-05,0,0
L18_combined,18,[3063],1,0.8835855646100116,0.0,0.18502714593292396,-2.9995274210714573e-05,0,0
L21_combined,21,[14638],1,0.8839736127279783,0.038804811796666616,0.18366493724103508,-0.0013922039660995977,3,2
L22_combined,22,"[4287, 7554]",2,0.8824214202561118,-0.11641443538997764,0.17856874442581505,-0.0064883967813196275,4,7
L23_combined,23,"[2155, 12731]",2,0.8828094683740784,-0.07760962359332213,0.18453597845147235,-0.00052116275566233,0,2
L28_combined,28,"[15323, 11036, 9766]",3,0.8839736127279783,0.038804811796666616,0.16616002455245024,-0.018897116654684437,4,3
L29_combined,29,"[6146, 9828]",2,0.8828094683740784,-0.07760962359332213,0.16437179218365638,-0.020685349023478294,10,12
L30_combined,30,"[4883, 11296]",2,0.8843616608459449,0.07760962359333323,0.17723170587084358,-0.007825435336291098,5,3
L31_combined,31,[11159],1,0.8835855646100116,0.0,0.1670729336725834,-0.017984207534551266,3,3
L32_combined,32,[4883],1,0.8839736127279783,0.038804811796666616,0.1694397038488403,-0.015617437358294378,4,3
L33_combined,33,"[10212, 8916]",2,0.8820333721381451,-0.15521924718664426,0.17100147558203174,-0.014055665625102937,5,9
L34_combined,34,[7538],1,0.8835855646100116,0.0,0.17157470678573858,-0.0134824344213961,3,3
L35_combined,35,[5016],1,0.8835855646100116,0.0,0.16826732918701492,-0.016789812020119754,3,3
L36_combined,36,[7456],1,0.883197516492045,-0.038804811796655514,0.16669002903942745,-0.018367112167707228,3,4
L37_combined,37,"[7839, 5207, 295]",3,0.8855258051998448,0.19402405898332198,0.15755229516773453,-0.02750484603940015,7,2
L38_combined,38,[3203],1,0.8835855646100116,0.0,0.18430137385528814,-0.0007557673518465424,0,0
L40_combined,40,"[696, 15479]",2,0.883197516492045,-0.038804811796655514,0.13346442549802268,-0.051592715709112,4,5
L41_combined,41,[3277],1,0.8835855646100116,0.0,0.18505771363778345,5.72430648770883e-07,0,0
all_layers_combined,all,"{1: [15769], 3: [909], 4: [3418, 12049], 7: [75], 10: [4737], 12: [11713], 13: [13767], 14: [5545], 15: [8576, 8431], 17: [12709], 18: [3063], 21: [14638], 22: [4287, 7554], 23: [2155, 12731], 28: [15323, 11036, 9766], 29: [6146, 9828], 30: [4883, 11296], 31: [11159], 32: [4883], 33: [10212, 8916], 34: [7538], 35: [5016], 36: [7456], 37: [7839, 5207, 295], 38: [3203], 40: [696, 15479], 41: [3277]}",39,0.8859138533178114,0.2328288707799775,0.08245770297019339,-0.10259943823694129,14,8
