condition,layer,features,n_features,accuracy,acc_delta,mean_entropy,ent_delta,n_flipped_to_correct,n_flipped_to_incorrect
L0_combined,0,[21573],1,0.8043875685557587,-0.0914076782449702,0.5561555612158078,0.0012608623026548749,1,2
L3_combined,3,[25064],1,0.8071297989031079,0.1828153564899515,0.5515188397124573,-0.003375859200695608,3,1
L15_combined,15,[30462],1,0.8107861060329068,0.5484460694698434,0.540181289282687,-0.014713409630465857,9,3
L16_combined,16,"[21747, 6093, 6986, 21931]",4,0.8071297989031079,0.1828153564899515,0.3814919951309704,-0.17340270378218253,10,8
L17_combined,17,"[8130, 13218, 22869]",3,0.8098720292504571,0.4570383912248732,0.42386346127858326,-0.13103123763456964,14,9
L18_combined,18,"[10969, 2618, 22061]",3,0.8062157221206582,0.0914076782449813,0.27341411973288454,-0.28148057918026836,15,14
L19_combined,19,"[16897, 20087, 5267]",3,0.8071297989031079,0.1828153564899515,0.4087960085811577,-0.14609869033199518,12,10
L20_combined,20,"[28843, 32003]",2,0.8089579524680073,0.3656307129798919,0.42374038650233714,-0.13115431241081577,12,8
L21_combined,21,"[18562, 29779, 8518, 28108, 23211]",5,0.8098720292504571,0.4570383912248732,0.3805751079287792,-0.17431959098437372,13,8
L22_combined,22,"[29763, 16994, 8083, 7393, 5692]",5,0.8089579524680073,0.3656307129798919,0.25909922875911323,-0.2957954701540397,17,13
L23_combined,23,"[4837, 10086, 13628, 17464, 731]",5,0.8089579524680073,0.3656307129798919,0.21282617874973253,-0.3420685201634204,20,16
L24_combined,24,"[18192, 29371, 27356]",3,0.8071297989031079,0.1828153564899515,0.2114492249751712,-0.3434454739379817,18,16
L25_combined,25,"[9670, 25415, 8653]",3,0.8107861060329068,0.5484460694698434,0.41426526159014027,-0.14062943732301264,12,6
L26_combined,26,"[14351, 23375, 276, 1137]",4,0.8053016453382084,0.0,0.20144561102604336,-0.35344908788710955,17,17
L27_combined,27,"[13272, 13231, 4360, 31449]",4,0.8080438756855576,0.2742230347349217,0.15044646201662398,-0.4044482368965289,29,26
L28_combined,28,"[7037, 5890]",2,0.8080438756855576,0.2742230347349217,0.4820115227538282,-0.07288317615932471,7,4
L29_combined,29,"[13931, 9092]",2,0.8053016453382084,0.0,0.5387236763377566,-0.016171022575396266,4,4
L30_combined,30,"[8867, 28950]",2,0.8071297989031079,0.1828153564899515,0.5259859871452971,-0.02890871176785581,4,2
L31_combined,31,"[28707, 16986]",2,0.8043875685557587,-0.0914076782449702,0.5504279294897423,-0.0044667694234106214,2,3
all_layers_combined,all,"{0: [21573], 3: [25064], 15: [30462], 16: [21747, 6093, 6986, 21931], 17: [8130, 13218, 22869], 18: [10969, 2618, 22061], 19: [16897, 20087, 5267], 20: [28843, 32003], 21: [18562, 29779, 8518, 28108, 23211], 22: [29763, 16994, 8083, 7393, 5692], 23: [4837, 10086, 13628, 17464, 731], 24: [18192, 29371, 27356], 25: [9670, 25415, 8653], 26: [14351, 23375, 276, 1137], 27: [13272, 13231, 4360, 31449], 28: [7037, 5890], 29: [13931, 9092], 30: [8867, 28950], 31: [28707, 16986]}",55,0.8126142595978062,0.7312614259597838,0.06914693982646063,-0.48574775908669227,27,19
