condition,layer,features,n_features,accuracy,acc_delta,mean_entropy,ent_delta,n_flipped_to_correct,n_flipped_to_incorrect
L0_combined,0,[25011],1,0.6763993733086455,-0.014242985329726565,0.5286688030584465,1.541860539577833e-05,0,1
L1_combined,1,[9524],1,0.6765418031619428,0.0,0.5286429645944309,-1.041985861982564e-05,0,0
L3_combined,3,[459],1,0.6773963822817263,0.08545791197834829,0.5282704798540071,-0.00038290459904366525,9,3
L4_combined,4,[6848],1,0.6766842330152399,0.014242985329715463,0.5283098832838313,-0.00034350116921944007,18,17
L5_combined,5,"[14657, 8121]",2,0.6769690927218345,0.04272895598916859,0.5276556056954228,-0.000997778757627965,22,19
L7_combined,7,[37],1,0.6768266628685372,0.028485970659442028,0.5270282060219268,-0.0016251784311239748,30,28
L9_combined,9,"[1053, 83, 7579]",3,0.6769690927218345,0.04272895598916859,0.5257261591865354,-0.002927225266515343,28,25
L10_combined,10,[73],1,0.6763993733086455,-0.014242985329726565,0.5281253548032443,-0.0005280296498064718,7,8
L12_combined,12,[20852],1,0.6762569434553483,-0.02848597065945313,0.5286690203050565,1.5635852005702056e-05,0,2
L14_combined,14,[1138],1,0.6768266628685372,0.028485970659442028,0.5280410530725261,-0.0006123313805246333,12,10
L15_combined,15,[23402],1,0.6782509614015098,0.17091582395669658,0.5275309722952808,-0.0011224121577699808,23,11
L17_combined,17,[5619],1,0.6768266628685372,0.028485970659442028,0.528767365969348,0.00011398151629726794,8,6
L18_combined,18,"[117, 17758]",2,0.6781085315482125,0.15667283862697,0.526606428136032,-0.0020469563170187888,23,12
L20_combined,20,[5362],1,0.6775388121350235,0.09970089730807485,0.5282451979770588,-0.00040818647599194513,13,6
L21_combined,21,"[295, 1880]",2,0.6742629255091868,-0.22788776527560284,0.5281390932138247,-0.0005142912392260834,12,28
L22_combined,22,"[4305, 3633, 1676]",3,0.6779661016949152,0.14242985329724345,0.5269239594869263,-0.0017294249661244931,28,18
L23_combined,23,[1378],1,0.6759720837487537,-0.05697194131890626,0.49295837262703623,-0.03569501182601453,79,83
L24_combined,24,[445],1,0.6756872240421592,-0.08545791197835939,0.5221955775356003,-0.006457806917450459,30,36
L25_combined,25,"[6792, 76]",2,0.6768266628685372,0.028485970659442028,0.5150001215558686,-0.013653262897182161,84,82
L28_combined,28,"[767, 7990]",2,0.6766842330152399,0.014242985329715463,0.43758015127304595,-0.09107323318000482,52,51
L29_combined,29,"[72, 2116]",2,0.6791055405212932,0.25637373593504487,0.4806649100355509,-0.04798847441749987,59,41
L30_combined,30,[2777],1,0.6779661016949152,0.14242985329724345,0.4879844967975786,-0.04066888765547216,56,46
L31_combined,31,[124],1,0.6782509614015098,0.17091582395669658,0.4820609691417005,-0.04659241531135028,157,145
L32_combined,32,[22],1,0.6776812419883208,0.11394388263780142,0.48873113098576526,-0.03992225346728551,41,33
L33_combined,33,[1108],1,0.6762569434553483,-0.02848597065945313,0.5279814671418123,-0.0006719173112385013,19,21
L34_combined,34,"[259, 38, 7017]",3,0.678393391254807,0.18515880928642314,0.4824412998334313,-0.04621208461961945,61,48
L37_combined,37,[5906],1,0.6785358211081043,0.1994017946161497,0.4975990224164388,-0.031054362036611993,55,41
L39_combined,39,[111],1,0.6771115225751317,0.05697194131889516,0.5228233504678734,-0.005830033985177341,38,34
L40_combined,40,[30591],1,0.6773963822817263,0.08545791197834829,0.5280886807900108,-0.000564703663039956,10,4
all_layers_combined,all,"{0: [25011], 1: [9524], 3: [459], 4: [6848], 5: [14657, 8121], 7: [37], 9: [1053, 83, 7579], 10: [73], 12: [20852], 14: [1138], 15: [23402], 17: [5619], 18: [117, 17758], 20: [5362], 21: [295, 1880], 22: [4305, 3633, 1676], 23: [1378], 24: [445], 25: [6792, 76], 28: [767, 7990], 29: [72, 2116], 30: [2777], 31: [124], 32: [22], 33: [1108], 34: [259, 38, 7017], 37: [5906], 39: [111], 40: [30591]}",41,0.673835635949295,-0.27061672126478253,0.2645638656197371,-0.26408951883331366,222,241
