category,layer,feature_idx,effect_size,accuracy,acc_delta,mean_entropy,ent_delta
both,0,273,0.35910844998071306,0.6929212362911267,0.0,0.5284424611382884,9.348764922045838e-05
both,0,11901,0.19328647618526845,0.6929212362911267,0.0,0.5283754239564391,2.6450467371152975e-05
both,0,25011,0.13510682873259225,0.6930636661444238,0.014242985329715463,0.5283236840229301,-2.528946613788996e-05
both,0,17269,0.13448457781406978,0.6929212362911267,0.0,0.528351463951751,2.4904626830801746e-06
both,0,10293,0.12744718427144788,0.6919242273180458,-0.09970089730808596,0.5279248756012085,-0.0004240978878594648
both,1,61,0.44643321835225175,0.6920666571713431,-0.08545791197835939,0.5275302940212183,-0.0008186794678496367
both,1,32200,0.27320920075352223,0.6927788064378294,-0.014242985329726565,0.5282271817777935,-0.00012179171127446597
both,1,209,0.17634066325643644,0.6929212362911267,0.0,0.5283517523752291,2.778886161181049e-06
both,1,26791,0.17621597299161798,0.6922090870246403,-0.07121492664863283,0.5284862814891492,0.00013730800008127098
both,1,9524,0.1636402483032519,0.6930636661444238,0.014242985329715463,0.52833923758799,-9.735901078000708e-06
both,2,75,0.35412671978391647,0.6912120780515596,-0.17091582395670768,0.528717711535297,0.0003687380462290557
both,2,28005,0.18665617974042129,0.6926363765845321,-0.02848597065945313,0.5283397196915446,-9.253797523367524e-06
both,2,904,0.172585406338838,0.6924939467312349,-0.042728955989179696,0.5280869355204253,-0.0002620379686426588
both,2,1379,0.12463250023135407,0.6927788064378294,-0.014242985329726565,0.5282545802637064,-9.439322536153316e-05
both,3,459,0.4250682093936011,0.6929212362911267,0.0,0.5279864471229723,-0.00036252636609568345
both,3,387,0.3750105761816383,0.6923515168779376,-0.05697194131890626,0.5281767711533775,-0.0001722023356904856
both,3,350,0.36532103062821714,0.6922090870246403,-0.07121492664863283,0.5285349356555394,0.00018596216647148722
both,3,6467,0.3578253982994766,0.6919242273180458,-0.09970089730808596,0.5282333293476238,-0.00011564414144416002
both,3,48,0.3532301785162344,0.6919242273180458,-0.09970089730808596,0.5272057096537612,-0.0011432638353067182
both,4,6848,0.35814800593491286,0.6934909557043156,0.05697194131889516,0.5278799487943148,-0.000469024694753184
both,4,61,0.30538248771959015,0.6920666571713431,-0.08545791197835939,0.5251934487886132,-0.0031555247004547704
both,4,24763,0.2885533927639625,0.6926363765845321,-0.02848597065945313,0.5283765346574986,2.756116843061207e-05
both,4,14729,0.24112718983951734,0.6927788064378294,-0.014242985329726565,0.5283697508161515,2.0777327083498776e-05
both,4,4322,0.21767336846930094,0.6930636661444238,0.014242985329715463,0.5283501020151147,1.1285260467230884e-06
both,5,14657,0.5538367353481026,0.6929212362911267,0.0,0.527619969800449,-0.0007290036886189455
both,5,106,0.5465203249268493,0.6920666571713431,-0.08545791197835939,0.5272316166753087,-0.0011173568137592405
both,5,8121,0.5236802100551993,0.6929212362911267,0.0,0.528214855720283,-0.00013411776878491377
both,5,9647,0.46601122757379415,0.6912120780515596,-0.17091582395670768,0.5277728884555931,-0.000576085033474838
both,5,3585,0.4534806237262887,0.6923515168779376,-0.05697194131890626,0.5288997416501586,0.0005507681610906756
both,6,121,0.5157819781734952,0.6910696481982623,-0.18515880928643424,0.5281564189409069,-0.00019255454816102802
both,6,412,0.4045529401136467,0.6927788064378294,-0.014242985329726565,0.5281860517358926,-0.00016292175317533797
