condition,layer,features,n_features,accuracy,acc_delta,mean_entropy,ent_delta,n_flipped_to_correct,n_flipped_to_incorrect
L1_combined,1,[15769],1,0.6771115225751317,0.05697194131889516,0.5285007716437518,-0.0001526128092990131,9,5
L3_combined,3,[909],1,0.6768266628685372,0.028485970659442028,0.5286314038795521,-2.1980573498669997e-05,3,1
L4_combined,4,"[3418, 12049]",2,0.6775388121350235,0.09970089730807485,0.5267772828273561,-0.0018761016256946261,23,16
L7_combined,7,[75],1,0.6769690927218345,0.04272895598916859,0.5273350569166265,-0.0013183275364242464,25,22
L10_combined,10,[4737],1,0.6769690927218345,0.04272895598916859,0.5281515819223705,-0.0005018025306802176,16,13
L12_combined,12,[11713],1,0.6785358211081043,0.1994017946161497,0.5281857880619372,-0.0004675963911136005,27,13
L13_combined,13,[13767],1,0.678393391254807,0.18515880928642314,0.5280278717473151,-0.0006255127057356313,24,11
L14_combined,14,[5545],1,0.6768266628685372,0.028485970659442028,0.5284610453340232,-0.00019233911902760692,7,5
L15_combined,15,"[8576, 8431]",2,0.6762569434553483,-0.02848597065945313,0.5279535240831396,-0.0006998603699112094,17,19
L17_combined,17,[12709],1,0.6771115225751317,0.05697194131889516,0.5283269639847233,-0.00032642046832742633,14,10
L18_combined,18,[3063],1,0.6766842330152399,0.014242985329715463,0.5286733493139222,1.9964860871413137e-05,7,6
L21_combined,21,[14638],1,0.6781085315482125,0.15667283862697,0.5259972837843544,-0.0026561006686963706,36,25
L22_combined,22,"[4287, 7554]",2,0.6792479703745905,0.27061672126477143,0.5190585420479358,-0.00959484240511499,57,38
L23_combined,23,"[2155, 12731]",2,0.6768266628685372,0.028485970659442028,0.5262853804338683,-0.002368004019182468,37,35
L28_combined,28,"[15323, 11036, 9766]",3,0.6782509614015098,0.17091582395669658,0.48480859047459535,-0.04384479397845542,58,46
L29_combined,29,"[6146, 9828]",2,0.6773963822817263,0.08545791197834829,0.4626098293638816,-0.06604355508916915,92,86
L30_combined,30,"[4883, 11296]",2,0.6776812419883208,0.11394388263780142,0.4994645073892827,-0.02918887706376805,45,37
L31_combined,31,[11159],1,0.6762569434553483,-0.02848597065945313,0.4817867891470294,-0.046866595306021386,38,40
L32_combined,32,[4883],1,0.6758296538954565,-0.07121492664863283,0.4874192094368822,-0.04123417501616855,32,37
L33_combined,33,"[10212, 8916]",2,0.6768266628685372,0.028485970659442028,0.5007223931467361,-0.027930991306314712,50,48
L34_combined,34,[7538],1,0.6756872240421592,-0.08545791197835939,0.49451233615449286,-0.03414104829855791,36,42
L35_combined,35,[5016],1,0.6769690927218345,0.04272895598916859,0.4843631016362518,-0.044290282816798976,35,32
L36_combined,36,[7456],1,0.6765418031619428,0.0,0.48317862580669196,-0.045474758646358804,30,30
L37_combined,37,"[7839, 5207, 295]",3,0.678393391254807,0.18515880928642314,0.4744176077504799,-0.05423577670257085,64,51
L38_combined,38,[3203],1,0.6765418031619428,0.0,0.5278022411349064,-0.0008511433181443984,10,10
L40_combined,40,"[696, 15479]",2,0.6776812419883208,0.11394388263780142,0.44190586707963636,-0.0867475173734144,54,46
L41_combined,41,[3277],1,0.6771115225751317,0.05697194131889516,0.5284869980634991,-0.00016638638955168705,4,0
all_layers_combined,all,"{1: [15769], 3: [909], 4: [3418, 12049], 7: [75], 10: [4737], 12: [11713], 13: [13767], 14: [5545], 15: [8576, 8431], 17: [12709], 18: [3063], 21: [14638], 22: [4287, 7554], 23: [2155, 12731], 28: [15323, 11036, 9766], 29: [6146, 9828], 30: [4883, 11296], 31: [11159], 32: [4883], 33: [10212, 8916], 34: [7538], 35: [5016], 36: [7456], 37: [7839, 5207, 295], 38: [3203], 40: [696, 15479], 41: [3277]}",39,0.6785358211081043,0.1994017946161497,0.2780095822803544,-0.2506438021726964,146,132
