category,layer,feature_idx,effect_size,accuracy,acc_delta,mean_entropy,ent_delta
pure_uncertainty,0,9915,0.8784597625343664,0.6281156530408774,-0.014242985329726565,0.8223675712177034,-0.00031172610420593383
pure_uncertainty,0,7270,0.49773115920704947,0.6282580828941746,0.0,0.8226733394997827,-5.957822126645418e-06
pure_uncertainty,0,1770,0.47417627500539905,0.6291126620139581,0.08545791197834829,0.822889513300904,0.0002102159789946212
pure_uncertainty,0,12043,0.47282720191528543,0.6284005127474719,0.014242985329726565,0.8226589656289969,-2.0331692912489707e-05
pure_uncertainty,0,9387,0.42739052020114027,0.6282580828941746,0.0,0.8227252738837887,4.5976561879323974e-05
pure_uncertainty,1,12392,0.8919786100062268,0.6288278023073636,0.05697194131889516,0.8221877587789646,-0.0004915385429448138
pure_uncertainty,1,11922,0.769298193801771,0.6291126620139581,0.08545791197834829,0.8222360530850398,-0.0004432442368695888
pure_uncertainty,1,16699,0.7270138070771258,0.6281156530408774,-0.014242985329726565,0.823462594521633,0.0007832971997235871
pure_uncertainty,1,12094,0.6484336388371317,0.6271186440677966,-0.11394388263780142,0.8262750269368788,0.003595729614969456
pure_uncertainty,1,12351,0.6158093284415931,0.6276883634809857,-0.05697194131889516,0.8219255684716968,-0.0007537288502125206
pure_uncertainty,2,30896,0.7889093151717091,0.6278307933342828,-0.042728955989179696,0.8226295210248775,-4.977629703184494e-05
pure_uncertainty,2,25734,0.6943184502208618,0.6282580828941746,0.0,0.8225965821901181,-8.271513179125556e-05
pure_uncertainty,2,20303,0.6503971333727099,0.6286853724540664,0.042728955989179696,0.8203553645946526,-0.002323932727256728
pure_uncertainty,2,6625,0.5590411178849859,0.6289702321606608,0.07121492664862172,0.8248748085839605,0.0021955112620510864
pure_uncertainty,2,11956,0.5338113265446331,0.6291126620139581,0.08545791197834829,0.8229234215144581,0.00024412419254871143
pure_uncertainty,3,25089,1.0449413538061114,0.6281156530408774,-0.014242985329726565,0.8231386880798505,0.00045939075794110273
pure_uncertainty,3,4390,0.6300044188170637,0.6282580828941746,0.0,0.8193112838911994,-0.003368013430709915
pure_uncertainty,3,15869,0.6163968289153812,0.6282580828941746,0.0,0.8233161978806949,0.0006369005587855137
pure_uncertainty,3,20799,0.5808463000887791,0.6288278023073636,0.05697194131889516,0.8226583661066373,-2.093121527202424e-05
pure_uncertainty,3,1323,0.4986053625249646,0.6281156530408774,-0.014242985329726565,0.8226208266181472,-5.847070376219232e-05
pure_uncertainty,4,983,1.0439899212989294,0.6275459336276884,-0.07121492664862172,0.820055953220948,-0.0026233441009613223
pure_uncertainty,4,4909,0.6703391856094404,0.6274035037743911,-0.08545791197834829,0.8173799360028496,-0.0052993613190597255
pure_uncertainty,4,23545,0.638484939522191,0.6278307933342828,-0.042728955989179696,0.8218970143130366,-0.0007822830088727306
pure_uncertainty,4,30345,0.6370311063997275,0.6276883634809857,-0.05697194131889516,0.8232486520426553,0.0005693547207459293
pure_uncertainty,4,13965,0.6008367483661784,0.6306793904002279,0.2421307506053294,0.8242990304239062,0.001619733101996812
pure_uncertainty,5,20085,1.084539571003729,0.6284005127474719,0.014242985329726565,0.8215065116683289,-0.001172785653580477
pure_uncertainty,5,22721,0.6762107598471199,0.6278307933342828,-0.042728955989179696,0.8220722906188285,-0.0006070067030808923
pure_uncertainty,5,18800,0.6138411194604358,0.6264064948013104,-0.18515880928642314,0.8230189217753011,0.0003396244533917514
pure_uncertainty,5,26311,0.427113312437908,0.6282580828941746,0.0,0.8227234748312178,4.417750930840736e-05
pure_uncertainty,5,13317,0.4199761439051611,0.6288278023073636,0.05697194131889516,0.8225616890924621,-0.00011760822944728577
pure_uncertainty,6,3066,0.7640733318221189,0.6269762142144993,-0.12818686796752798,0.8178439067200192,-0.004835390601890199
pure_uncertainty,6,16276,0.7204642858803604,0.6284005127474719,0.014242985329726565,0.8210262603737576,-0.001653036948151776
pure_uncertainty,6,12738,0.6416697583476547,0.6288278023073636,0.05697194131889516,0.8222293820419982,-0.00044991527991111724
pure_uncertainty,6,18158,0.6272684689557648,0.6269762142144993,-0.12818686796752798,0.8196615727738781,-0.0030177245480312864
pure_uncertainty,6,8693,0.44220440268470346,0.6284005127474719,0.014242985329726565,0.8212115782837142,-0.0014677190381952032
pure_uncertainty,7,24614,0.6930673643163249,0.6284005127474719,0.014242985329726565,0.8221330776941437,-0.0005462196277656872
pure_uncertainty,7,30835,0.5834123249580584,0.6282580828941746,0.0,0.8219715562916224,-0.0007077410302869236
pure_uncertainty,7,2915,0.5649869979764861,0.6284005127474719,0.014242985329726565,0.8223155186210598,-0.00036377870084958186
pure_uncertainty,7,27514,0.5472301889258938,0.6299672411337416,0.17091582395669658,0.8285381237709233,0.005858826449013921
pure_uncertainty,7,9608,0.5334519025637515,0.6281156530408774,-0.014242985329726565,0.8227749455311896,9.564820928020801e-05
