layer,original_incorrectness,original_entropy,original_overlap,pure_uncertainty,pure_incorrectness,pure_uncertainty_only,pure_incorrectness_only,both_confounded,interaction
0,34,41,33,36,9,30,3,6,38
1,61,68,61,66,9,59,2,7,64
2,52,58,50,55,14,51,10,4,54
3,67,78,67,75,18,61,4,14,76
4,152,174,144,171,38,159,26,12,168
5,137,148,130,146,61,114,29,32,150
6,133,149,131,146,40,131,25,15,144
7,144,157,141,151,43,128,20,23,151
8,168,192,165,190,49,172,31,18,181
9,155,172,152,167,52,147,32,20,162
10,168,185,165,179,44,157,22,22,175
11,162,178,159,176,49,162,35,14,169
12,156,169,149,170,33,161,24,9,168
13,141,161,134,162,66,146,50,16,153
14,150,173,144,169,43,154,28,15,165
15,140,154,136,156,66,140,50,16,152
16,146,156,141,153,58,134,39,19,153
17,167,179,163,168,82,148,62,20,176
18,200,223,192,218,82,200,64,18,214
19,165,179,160,180,100,155,75,25,176
20,181,205,175,205,112,174,81,31,200
21,196,225,193,220,131,199,110,21,212
22,177,186,168,178,126,155,103,23,187
23,181,199,178,193,156,165,128,28,197
24,161,177,150,177,136,156,115,21,173
25,214,239,204,219,140,188,109,31,239
26,207,231,198,247,120,219,92,28,230
27,191,225,184,223,118,194,89,29,212
28,208,232,202,226,122,199,95,27,230
29,195,211,184,213,102,191,80,22,203
30,204,216,194,224,126,196,98,28,213
31,206,235,201,239,114,210,85,29,227
32,218,245,215,240,128,222,110,18,232
33,202,224,200,218,167,182,131,36,217
34,245,275,237,269,182,235,148,34,265
35,259,293,252,290,200,260,170,30,285
36,243,269,239,270,227,238,195,32,261
37,241,267,228,264,256,234,226,30,257
38,243,282,236,279,262,251,234,28,268
39,252,304,245,308,294,274,260,34,289
40,300,359,288,360,348,328,316,32,342
