layer,original_incorrectness,original_entropy,original_overlap,pure_uncertainty,pure_incorrectness,pure_uncertainty_only,pure_incorrectness_only,both_confounded,interaction
0,22,22,22,22,3,20,1,2,22
1,23,24,23,23,5,21,3,2,24
2,24,25,24,23,1,22,0,1,24
3,34,37,32,35,4,32,1,3,36
4,70,78,67,77,14,72,9,5,77
5,89,102,87,101,28,86,13,15,98
6,102,118,101,115,28,98,11,17,107
7,146,152,140,146,44,127,25,19,148
8,139,144,136,147,32,134,19,13,142
9,154,170,150,169,54,149,34,20,160
10,181,196,178,189,42,174,27,15,191
11,152,167,149,174,37,157,20,17,158
12,190,204,184,211,30,196,15,15,201
13,179,198,175,202,41,189,28,13,193
14,89,98,89,96,24,85,13,11,94
15,165,184,162,187,52,166,31,21,176
16,85,88,83,85,26,76,17,9,85
17,93,101,92,100,55,82,37,18,98
18,117,123,113,119,60,108,49,11,123
19,220,239,212,234,125,209,100,25,237
20,110,113,105,107,76,95,64,12,113
21,286,315,270,293,185,260,152,33,308
22,267,286,258,269,173,243,147,26,279
23,256,281,248,281,157,242,118,39,272
24,253,283,236,277,177,246,146,31,280
25,262,297,249,284,180,249,145,35,287
26,291,327,281,312,171,274,133,38,312
27,271,295,266,299,120,260,81,39,289
28,257,283,243,285,127,248,90,37,279
29,198,225,193,230,111,201,82,29,214
30,212,240,209,247,120,217,90,30,231
31,208,226,199,225,105,203,83,22,225
32,202,221,195,218,119,189,90,29,212
33,214,236,212,234,139,209,114,25,224
34,236,256,228,250,155,225,130,25,251
35,262,299,257,306,201,277,172,29,290
36,244,281,237,279,204,257,182,22,273
37,256,298,244,294,259,268,233,26,281
38,314,347,306,340,296,301,257,39,336
39,353,409,339,403,309,365,271,38,387
40,367,433,355,433,324,386,277,47,404
41,336,394,315,379,299,348,268,31,386
