layer,original_incorrectness,original_entropy,original_overlap,pure_uncertainty,pure_incorrectness,pure_uncertainty_only,pure_incorrectness_only,both_confounded,interaction
0,26,27,26,28,10,26,8,2,27
1,30,34,30,34,4,34,4,0,33
2,30,38,30,36,4,36,4,0,35
3,26,29,24,27,4,26,3,1,30
4,18,25,17,23,0,23,0,0,26
5,20,21,20,20,2,20,2,0,20
6,21,22,20,22,1,22,1,0,23
7,22,22,21,20,4,19,3,1,22
8,21,23,21,21,5,21,5,0,22
9,16,18,16,19,6,19,6,0,17
10,16,19,16,16,6,15,5,1,19
11,19,16,16,17,10,17,10,0,19
12,22,26,22,27,11,26,10,1,23
13,12,13,12,17,15,17,15,0,13
14,29,27,26,27,18,27,18,0,29
15,29,32,28,30,16,28,14,2,31
16,21,21,19,22,17,16,11,6,22
17,22,22,21,20,23,15,18,5,22
18,21,23,20,23,15,20,12,3,23
19,22,22,22,19,15,16,12,3,22
20,22,25,22,26,10,23,7,3,23
21,18,22,18,23,15,18,10,5,18
22,22,21,21,22,17,15,10,7,21
23,18,19,17,21,10,16,5,5,19
24,19,18,18,17,9,12,4,5,19
25,23,25,23,25,5,22,2,3,25
26,27,27,25,23,13,15,5,8,27
27,25,27,25,27,11,20,4,7,27
28,23,22,21,20,11,15,6,5,23
29,31,32,31,32,15,24,7,8,32
30,35,36,35,35,18,27,10,8,35
31,61,64,60,63,37,50,24,13,64
